Fruit,Vitamin,Content
Apricots,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,2 0,06 0,05 0,06 5000 0,004"
Apple,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,005 0,02 0,01 0,05 5000 0,003"
Banana,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,008 0,04 0,03 0,36 10.000 0,016"
Blackberries,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,015 0,08 0,04 0,07 150.000 0,008"
Cherries,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,012 0,02 0,02 0,04 10.000 0,004"
Grapefruit,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,028 0,07 0,02 0,03 40.000 0,015"
Grapes,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,005 0,03 0,01 0,08 3000 0,001"
Kiwi,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,007 0,01 0,02 0,12 70.000 0,023"
Lemon,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,001 0,06 0,02 0,04 40.000 0,008"
Lime,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"vitamine a 50 IU vitamine b6 0,43 mg vitamine b 0,020 mg vitamine c 29,1 mg If you have information on these values please contact us"
Lychee,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,002 0,09 0,04 0,04 23.000 -"
Mango,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,053 0,03 0,04 0,04 23.000 0,023"
Melon,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),If you have information on these values please contact us
Orange,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,012 0,07 0,03 0,06 49.000 0,018"
Peach,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,016 0,01 0,02 0,02 7000 0,002"
Pear,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,002 0,01 0,01 0,02 4000 0,001"
Pineapple,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0 0,07 0,02 0,09 25.000 0,004"
Plum,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,062 0,02 0,03 0,1 5000 0,002"
Pumpkin,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,025 0,04 0,04 0,02 16.000 0,007"
Raspberries,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,004 0,09 0,06 0,06 5000 0,024"
Strawberry,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,002 0,02 0,03 0,06 60.000 0,065"
Tomato,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,088 0,05 0,02 0,08 15.000 0,008"
Water melon,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,045 0,04 0,05 0,07 6000 0,001"
Artichoke,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,008 0,14 0,01 0,03 8000 0,05"
Asparagus,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0 0,04 0,04 0,03 12.000 0,056"
Avocado,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,11 0,06 0,12 0,36 17.000 0,008"
Broccoli,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,2 0,1 0,3 0,21 110.000 -"
Brussels sprouts,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,031 0,1 0,12 0,23 66.000 0,087"
Cabbage,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,01 0,1 0,15 0,2 80.000 0,069"
Carrot,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,6 0,01 0,01 0,03 1000 0,016"
Cauliflower,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,001 0,05 0,07 0,2 80.000 0,044"
Chicory,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,17 0,05 0,06 0,06 4000 0,05"
Corn,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,007 0,12 0,07 0,1 0 0,034"
Cucumber,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,034 0,03 0.01 0.03 10.000 0,005"
Green paprika,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,022 0,03 0,07 0,18 70.000 0,055"
Leek,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,094 0,12 0,04 0,25 20.000 -"
Mushroom,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0 0,07 0,3 0,12 5000 0,032"
Olives,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,049 trace amount trace amount 0,02 0 trace amount"
Onion,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,001 0,03 0,01 0,17 10.000 0,01"
Peas,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,3 0,06 0,05 0,05 1000 0,022"
Pickels,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,027 0 0 0,04 2000 0,004"
Potatoes,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0 0,12 0,04 0,3 14.000 0,023"
Radishes,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,002 0,05 0,03 0,08 20.000 0,028"
Red paprika,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,2 0,03 0,07 0,18 150.000 0,055"
Sauerkraut,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,003 0 0,04 0,13 25.000 0,009"
Spinach,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,24 0,04 0,1 0,15 25.000 0,1"
Zucchini,Vitamin A Vitamin B1 Vitamin B2 Vitamin B6 Vitamin C Folate (folic acid),"0,061 0,05 0,09 0,15 16.000 0,038"
